,0
0,2017-01-05 15:34:27
1,2017-01-05 15:34:35
2,2017-01-05 15:34:36
3,2017-01-05 15:34:41
4,2017-01-05 15:36:50
5,2017-01-05 15:36:56
6,2017-01-05 15:36:57
7,2017-01-05 15:36:58
8,2017-01-05 15:36:59
9,2017-01-05 15:42:23
10,2017-01-05 15:42:28
11,2017-01-05 15:42:30
12,2017-01-05 15:55:23
13,2017-01-05 16:38:49
14,2017-01-06 16:41:38
15,2017-01-06 16:41:40
16,2017-01-06 16:41:41
17,2017-01-06 16:41:48
18,2017-01-06 16:41:49
19,2017-01-09 10:08:27
20,2017-01-09 10:08:28
21,2017-01-09 10:08:40
22,2017-01-09 10:08:41
23,2017-01-09 10:16:29
24,2017-01-10 15:12:40
25,2017-01-10 15:12:53
26,2017-01-10 15:12:54
27,2017-01-10 15:15:30
28,2017-01-12 09:09:51
29,2017-01-12 09:09:52
30,2017-01-12 09:09:53
31,2017-01-12 09:09:54
32,2017-01-12 09:10:00
33,2017-01-12 09:10:11
34,2017-01-12 09:10:13
35,2017-01-12 09:10:15
36,2017-01-12 09:10:20
37,2017-01-12 09:10:22
38,2017-01-12 09:10:27
39,2017-01-12 09:10:35
40,2017-01-12 09:10:46
41,2017-01-12 09:10:47
42,2017-01-12 09:10:48
43,2017-01-12 09:10:49
44,2017-01-12 09:10:51
45,2017-01-12 09:10:58
46,2017-01-12 09:11:05
47,2017-01-12 09:22:18
48,2017-01-12 09:22:24
49,2017-01-12 09:22:30
50,2017-01-12 09:22:38
51,2017-01-12 14:04:27
52,2017-01-12 14:04:37
53,2017-01-12 14:04:42
54,2017-01-12 14:04:48
55,2017-01-12 14:04:55
56,2017-01-12 14:05:17
57,2017-01-12 14:05:19
58,2017-01-12 14:05:24
59,2017-01-12 14:05:29
60,2017-01-12 14:05:30
61,2017-01-12 14:05:36
62,2017-01-12 14:05:37
63,2017-01-12 14:05:49
64,2017-01-12 14:05:56
65,2017-01-12 14:06:00
66,2017-01-12 14:06:05
67,2017-01-12 14:06:13
68,2017-01-12 14:06:20
69,2017-01-12 14:23:30
70,2017-01-12 14:23:35
71,2017-01-12 14:23:42
72,2017-01-12 14:23:50
73,2017-01-12 14:32:22
74,2017-01-12 14:35:28
75,2017-01-12 14:37:24
76,2017-01-13 09:51:57
77,2017-01-13 09:52:07
78,2017-01-13 12:03:40
79,2017-01-13 15:28:24
80,2017-01-13 15:28:52
81,2017-01-13 15:29:22
82,2017-01-17 13:11:25
83,2017-01-17 13:11:33
84,2017-01-17 13:11:42
85,2017-01-31 12:24:26
86,2017-01-31 12:24:27
87,2017-01-31 12:30:56
88,2017-01-31 12:36:59
89,2017-01-31 13:21:49
90,2017-01-31 13:21:50
91,2017-01-31 13:22:03
92,2017-01-31 13:22:04
93,2017-01-31 13:22:05
94,2017-02-07 10:09:36
95,2017-02-07 10:09:45
96,2017-02-07 10:09:46
97,2017-02-07 10:09:53
98,2017-02-07 15:44:39
99,2017-02-07 15:44:40
100,2017-02-07 15:44:41
101,2017-02-07 15:44:42
102,2017-02-07 15:44:46
103,2017-02-07 15:44:47
104,2017-02-17 09:17:36
105,2017-02-17 09:17:45
106,2017-02-17 09:18:43
107,2017-02-28 16:01:05
108,2017-02-28 16:01:11
109,2017-02-28 16:01:42
110,2017-03-03 14:14:00
111,2017-03-03 14:14:01
112,2017-03-03 14:14:19
113,2017-03-03 14:44:04
114,2017-03-03 14:44:05
115,2017-03-06 08:23:28
116,2017-03-06 08:23:40
117,2017-03-06 08:23:41
118,2017-03-06 08:23:42
119,2017-03-06 08:23:43
120,2017-03-06 08:23:45
121,2017-03-06 08:24:18
122,2017-03-06 08:24:22
123,2017-03-06 08:24:23
124,2017-03-06 08:24:24
125,2017-03-06 08:25:10
126,2017-03-06 08:25:12
127,2017-03-06 08:25:13
128,2017-03-06 08:25:14
129,2017-03-06 08:25:15
130,2017-03-08 10:25:12
131,2017-03-08 10:25:13
132,2017-03-08 10:25:14
133,2017-03-08 10:33:43
134,2017-03-10 10:30:41
135,2017-03-10 10:30:56
136,2017-03-10 10:31:16
137,2017-03-10 12:34:42
138,2017-03-10 12:35:03
139,2017-03-10 12:35:04
140,2017-03-10 12:44:11
141,2017-03-10 12:44:12
142,2017-03-10 12:49:05
143,2017-03-10 12:49:06
144,2017-03-10 12:49:07
145,2017-03-17 10:32:46
146,2017-03-17 10:32:57
147,2017-03-17 10:32:58
148,2017-03-17 10:33:06
149,2017-03-17 10:33:07
150,2017-03-23 10:28:23
151,2017-03-23 10:29:53
152,2017-03-23 10:30:15
153,2017-03-23 10:30:20
154,2017-03-23 10:30:31
155,2017-03-23 10:30:51
156,2017-03-23 10:31:19
157,2017-03-23 10:31:23
158,2017-03-23 10:31:34
159,2017-03-23 10:57:52
160,2017-03-23 10:57:53
161,2017-03-23 10:57:54
162,2017-03-23 11:00:02
163,2017-03-23 11:00:03
164,2017-03-23 11:00:04
165,2017-03-23 12:39:23
166,2017-03-23 12:39:35
167,2017-03-23 12:40:01
168,2017-03-23 16:08:54
169,2017-03-23 16:26:55
170,2017-03-23 16:26:56
171,2017-03-23 16:27:03
172,2017-03-23 16:27:38
173,2017-03-23 16:27:39
